Date Found,Company/Brand,Website,What They Sell,Business Stage/Size Signals,E-commerce Platform,Support/Help-Center Setup,Evidence Order-Tracking/Support Is Relevant,Evidence of Meaningful Order/Customer Activity,Signs of Operational Pain or Automation Opportunity,Existing Automation/Support Tools,Likely Decision-Maker Role,Decision-Maker Name (if verifiable),Public Professional Contact Path,Why This Fits the Founding Client Offer,Possible Objection / Reason NOT to Pursue,Priority (HIGH PRIORITY / POSSIBLE / NOT A FIT),Stage,Personalization Detail,Drafted Outreach Message,Date Contacted,Notes / Next Action
2026-09-25,Audien Hearing,audienhearing.com,"FDA-cleared, affordable hearing aids sold DTC. Founded by Ishan Patel, Zack Hubbard, and Dylan Garber (VERIFIED FACT). The Gorgias case study describes over 50,000 monthly support interactions and a team of 75 support agents prior to automating (VERIFIED FACT, direct case-study figures).",,,,,,,,,,,N/A — NOT A FIT (see Possible Objection field for disqualifying reason).,"NOT A FIT: clear enterprise-scale signals — a 75-person support team and 50k+ monthly tickets place this far outside a founder-led, single-decision-maker profile, and Gorgias is already deployed at scale.",NOT A FIT,QUALIFIED,Not applicable — disqualified.,Not applicable — disqualified.,,Disqualified this batch; no further action planned.
2026-09-25,Native,nativecos.com,"Natural deodorant and personal care. Acquired by Procter & Gamble in 2017 (widely reported, treated as VERIFIED FACT general public knowledge).",,,,,,,,,,,N/A — NOT A FIT (see Possible Objection field for disqualifying reason).,"NOT A FIT: owned by a large multinational consumer-goods corporation; any support-automation purchase would run through P&G's own procurement/vendor processes, not a founder's personal decision.",NOT A FIT,QUALIFIED,Not applicable — disqualified.,Not applicable — disqualified.,,Disqualified this batch; no further action planned.
2026-09-25,BrüMate,brumate.com,"Insulated drinkware (tumblers, can coolers). Founded by Dylan Jacob (VERIFIED FACT). Raised $45M across two funding rounds; latest employee count ~72; revenue estimates ranging from ~$8M to $100M+ across sources (REASONABLE INFERENCE, wide variance, consistently large) (VERIFIED FACT on funding/employee count from Built In Colorado and other business-data sources).",,,,,,,,,,,N/A — NOT A FIT (see Possible Objection field for disqualifying reason).,"NOT A FIT: clear enterprise-scale signals (72 employees, tens of millions raised) place this well outside the target band.",NOT A FIT,QUALIFIED,Not applicable — disqualified.,Not applicable — disqualified.,,Disqualified this batch; no further action planned.
2026-09-25,Apothékary,apothekary.com,"Plant-based liquid herbal supplements. Founded by Shizu Okusa (VERIFIED FACT). 42-48 employees, $18.7M raised, and 2026 projected revenue of $30-50M (VERIFIED FACT/REASONABLE INFERENCE per Crunchbase/PitchBook and BeautyMatter's Future50 profile).",,,,,,,,,,,N/A — NOT A FIT (see Possible Objection field for disqualifying reason).,"NOT A FIT: VC-backed at enterprise-adjacent scale, well above the $1-5M band, with a formal executive/investor structure.",NOT A FIT,QUALIFIED,Not applicable — disqualified.,Not applicable — disqualified.,,Disqualified this batch; no further action planned.
2026-09-25,Stoov,stoov.com,"Dutch heated cushions/blankets sold across Europe (and recently expanding outside Europe). Founded by Teun van Leijsen (VERIFIED FACT). 25-31 employees per aggregators, and one source lists $40.2M in revenue (REASONABLE INFERENCE, single-source revenue figure, but consistent with the company's own reporting of selling ~half a million units in 2022 and ranking on the FT1000 fastest-growing companies list) (VERIFIED FACT on FT1000 ranking and unit-sales claim).",,,,,,,,,,,N/A — NOT A FIT (see Possible Objection field for disqualifying reason).,"NOT A FIT: clear enterprise-scale signals; Gorgias, Klaviyo, and Zendesk history are all already mature implementations, not a gap this offer would fill.",NOT A FIT,QUALIFIED,Not applicable — disqualified.,Not applicable — disqualified.,,Disqualified this batch; no further action planned.
2026-09-25,Made In Cookware,madeincookware.com,"DTC stainless/carbon-steel cookware and knives. Founded 2017 by Jake Kalick and Chip Malt (VERIFIED FACT). 119 employees as of a 2026 data point, with funding reported between $8.33M and a much larger (likely erroneous/outlier) $136.9M figure across sources (REASONABLE INFERENCE on the employee count, treated as the more reliable of the conflicting figures).",,,,,,,,,,,N/A — NOT A FIT (see Possible Objection field for disqualifying reason).,"NOT A FIT: 119 employees is a clear enterprise-scale signal well past a founder-led decision structure, and public Trustpilot complaints suggest a support team that's already large enough to have its own systemic issues rather than a simple capacity gap.",NOT A FIT,QUALIFIED,Not applicable — disqualified.,Not applicable — disqualified.,,Disqualified this batch; no further action planned.
2026-09-25,Rococo Chocolates,rococochocolates.com,"Artisan British chocolatier. Founded 1983 by Chantal Coady OBE (VERIFIED FACT). The company was ""rescued from collapse"" by Prestat (owned by Gruppo Illy), and Chantal Coady has since returned only as creative director/brand ambassador, not as owner (VERIFIED FACT, Management Today profile).",,,,,,,,,,,N/A — NOT A FIT (see Possible Objection field for disqualifying reason).,"NOT A FIT: no longer founder-owned — decision-making now sits inside Prestat/Gruppo Illy's corporate structure, not with a single accessible founder.",NOT A FIT,QUALIFIED,Not applicable — disqualified.,Not applicable — disqualified.,,Disqualified this batch; no further action planned.
2026-09-25,Blenders Eyewear,blenderseyewear.com,Sunglasses brand. Founded by Chase Fisher in 2012 (VERIFIED FACT). Grew to a $90M valuation within 7 years (VERIFIED FACT per Klaviyo's own case study).,,,,,,,,,,,N/A — NOT A FIT (see Possible Objection field for disqualifying reason).,NOT A FIT: clear enterprise-scale signal; a company at this valuation almost certainly has an established internal marketing/CX operation and likely formal vendor-management processes.,NOT A FIT,QUALIFIED,Not applicable — disqualified.,Not applicable — disqualified.,,Disqualified this batch; no further action planned.
2026-09-25,Blueland,blueland.com,"Plastic-free cleaning and personal-care products. Founded by Sarah Paiji Yoo (VERIFIED FACT). Featured on Shark Tank (2020); raised $35M+ in venture funding; reports $300M in lifetime sales and over $100M in sales by 2022; sold nationally in Target (1,800+ stores), Costco, Whole Foods, and Kroger (all VERIFIED FACT per Entrepreneur, Inc., and the company's own materials).",,,,,,,,,,,N/A — NOT A FIT (see Possible Objection field for disqualifying reason).,NOT A FIT: unambiguous enterprise scale and national big-box retail distribution place this far outside the target profile.,NOT A FIT,QUALIFIED,Not applicable — disqualified.,Not applicable — disqualified.,,Disqualified this batch; no further action planned.
2026-09-25,L. Eyes Eyewear,(New Zealand; website not captured),"Sunglasses brand with Polynesian-inspired designs, founded by a Māori couple (Martin and Allies) (VERIFIED FACT per Klaviyo's own published case study). Started at home and grew via word-of-mouth and Facebook Marketplace; the case study frames the founders' explicit goal as turning the brand ""from a side hustle into a full-time gig"" (VERIFIED FACT, direct framing from the case study).",,,,,,,,,,,N/A — NOT A FIT (see Possible Objection field for disqualifying reason).,"NOT A FIT: a genuine, sympathetic small business, but its own description of itself as still transitioning from a side hustle suggests it likely sits below the ""meaningful order volume"" / $1M+ threshold this offer targets, closer to the README's ""avoid hobby/tiny stores"" caution than to a qualified prospect. Worth revisiting if it has grown substantially since the case study was published.",NOT A FIT,QUALIFIED,Not applicable — disqualified.,Not applicable — disqualified.,,Disqualified this batch; no further action planned.
